ROI_COL,ROI_INDEX,ROI_LEVEL,ROI_BRIEF,ROI_NAME,NUM_VOX,HEMISPHERE,TISSUE_SEG,SUBGROUP_0,SUBGROUP_1,SUBGROUP_2,PAIR_INDEX
R93,93,SINGLE,PLoIC-CP right,posterior limb of internal capsule inc. cerebral peduncle right,2480.5,R,WM,DEEP_WM_GM,DEEP_WM,DEEP_WM,10
R94,94,SINGLE,PLoIC-CP left,posterior limb of internal capsule inc. cerebral peduncle left,2416.3,L,WM,DEEP_WM_GM,DEEP_WM,DEEP_WM,10
R95,95,SINGLE,corpus callosum,corpus callosum,12871.8,B,WM,NONE,NONE,NONE,0
R100,100,SINGLE,Right ACgG,Right ACgG  anterior cingulate gyrus,4782.3,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,37
R101,101,SINGLE,Left ACgG,Left ACgG  anterior cingulate gyrus,5262.2,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,37
R102,102,SINGLE,Right Ains,Right AIns  anterior insula,4600.1,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM,18
R103,103,SINGLE,Left Ains,Left AIns  anterior insula,4749.1,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM,18
R104,104,SINGLE,Right AOrG,Right AOrG  anterior orbital gyrus,2244.9,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,14
R105,105,SINGLE,Left AOrG,Left AOrG  anterior orbital gyrus,1897.7,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,14
R106,106,SINGLE,Right AnG,Right AnG   angular gyrus,11563.6,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,51
R107,107,SINGLE,Left AnG,Left AnG   angular gyrus,9939.4,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,51
R108,108,SINGLE,Right Calc,Right Calc  calcarine cortex,3543.7,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,47
R109,109,SINGLE,Left Calc,Left Calc  calcarine cortex,3635.5,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,47
R112,112,SINGLE,Right CO,Right CO    central operculum,4691.3,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,33
R113,113,SINGLE,Left CO,Left CO    central operculum,4466.1,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,33
